ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
משיח;(1, [40, 300, 10, 8], 358);1310;1339
את משיח;(2, [1, 400, 40, 300, 10, 8], 759);9;3
למשיח;(3, [30, 40, 300, 10, 8], 388);99;86
ממשיח;(4, [40, 40, 300, 10, 8], 398);94;99
מי משיח;(5, [40, 10, 40, 300, 10, 8], 408);11;14
משיח מי;(6, [40, 300, 10, 8, 40, 10], 408);11;6
המשיח;(7, [5, 40, 300, 10, 8], 363);103;111
את המשיח;(8, [1, 400, 5, 40, 300, 10, 8], 764);0;1
מהמשיח;(9, [40, 5, 40, 300, 10, 8], 403);9;6
מי המשיח;(10, [40, 10, 5, 40, 300, 10, 8], 413);2;5
המשיח מי;(11, [5, 40, 300, 10, 8, 40, 10], 413);1;0
משיחי;(12, [40, 300, 10, 8, 10], 368);193;142
את משיחי;(13, [1, 400, 40, 300, 10, 8, 10], 769);4;0
למשיחי;(14, [30, 40, 300, 10, 8, 10], 398);17;10
ממשיחי;(15, [40, 40, 300, 10, 8, 10], 408);11;9
מי משיחי;(16, [40, 10, 40, 300, 10, 8, 10], 418);1;2
משיחי מי;(17, [40, 300, 10, 8, 10, 40, 10], 418);1;0
משיחך;(18, [40, 300, 10, 8, 20], 378);52;61
את משיחך;(19, [1, 400, 40, 300, 10, 8, 20], 779);1;0
למשיחך;(20, [30, 40, 300, 10, 8, 20], 408);3;7
ממשיחך;(21, [40, 40, 300, 10, 8, 20], 418);3;5
מי משיחך;(22, [40, 10, 40, 300, 10, 8, 20], 428);0;1
משיחך מי;(23, [40, 300, 10, 8, 20, 40, 10], 428);0;1
משיחו;(24, [40, 300, 10, 8, 6], 364);137;169
את משיחו;(25, [1, 400, 40, 300, 10, 8, 6], 765);0;1
למשיחו;(26, [30, 40, 300, 10, 8, 6], 394);17;10
ממשיחו;(27, [40, 40, 300, 10, 8, 6], 404);7;16
מי משיחו;(28, [40, 10, 40, 300, 10, 8, 6], 414);0;1
משיחו מי;(29, [40, 300, 10, 8, 6, 40, 10], 414);0;1
משיחה;(30, [40, 300, 10, 8, 5], 363);103;90
את משיחה;(31, [1, 400, 40, 300, 10, 8, 5], 764);0;0
למשיחה;(32, [30, 40, 300, 10, 8, 5], 393);9;3
ממשיחה;(33, [40, 40, 300, 10, 8, 5], 403);9;10
מי משיחה;(34, [40, 10, 40, 300, 10, 8, 5], 413);0;1
משיחה מי;(35, [40, 300, 10, 8, 5, 40, 10], 413);1;0
משיחכם;(36, [40, 300, 10, 8, 20, 40], 418);2;2
את משיחכם;(37, [1, 400, 40, 300, 10, 8, 20, 40], 819);1;0
למשיחכם;(38, [30, 40, 300, 10, 8, 20, 40], 448);0;1
ממשיחכם;(39, [40, 40, 300, 10, 8, 20, 40], 458);0;0
מי משיחכם;(40, [40, 10, 40, 300, 10, 8, 20, 40], 468);0;0
משיחכם מי;(41, [40, 300, 10, 8, 20, 40, 40, 10], 468);0;0
משיחכן;(42, [40, 300, 10, 8, 20, 50], 428);2;1
את משיחכן;(43, [1, 400, 40, 300, 10, 8, 20, 50], 829);0;0
למשיחכן;(44, [30, 40, 300, 10, 8, 20, 50], 458);0;0
ממשיחכן;(45, [40, 40, 300, 10, 8, 20, 50], 468);1;0
מי משיחכן;(46, [40, 10, 40, 300, 10, 8, 20, 50], 478);0;0
משיחכן מי;(47, [40, 300, 10, 8, 20, 50, 40, 10], 478);0;0
משיחנו;(48, [40, 300, 10, 8, 50, 6], 414);7;11
את משיחנו;(49, [1, 400, 40, 300, 10, 8, 50, 6], 815);0;0
למשיחנו;(50, [30, 40, 300, 10, 8, 50, 6], 444);1;0
ממשיחנו;(51, [40, 40, 300, 10, 8, 50, 6], 454);2;2
מי משיחנו;(52, [40, 10, 40, 300, 10, 8, 50, 6], 464);0;0
משיחנו מי;(53, [40, 300, 10, 8, 50, 6, 40, 10], 464);0;0
