(3, 1, 1, 20, 20);א;ה;ו;ה;י;ר;ב;ד;י;ו;ה;ש;מ;ל;א;א;ר;ק;י;ו;(3, 1, 1, 1, 1)
(3, 1, 2, 5, 40);ל;א;ר;ב;ד;ר;מ;א;ל;ד;ע;ו;מ;ל;ה;א;מ;ו;י;ל;(3, 1, 1, 21, 21)
(3, 1, 2, 25, 60);ם;ד;א;ם;ה;ל;א;ת;ר;מ;א;ו;ל;א;ר;ש;י;י;נ;ב;(3, 1, 2, 6, 41)
(3, 1, 2, 45, 80);מ;ה;ו;ה;י;ל;ן;ב;ר;ק;ם;כ;מ;ב;י;ר;ק;י;י;כ;(3, 1, 2, 26, 61)
(3, 1, 2, 65, 100);ת;ן;א;צ;ה;ן;מ;ו;ר;ק;ב;ה;ן;מ;ה;מ;ה;ב;ה;ן;(3, 1, 2, 46, 81)
(3, 1, 3, 7, 120);ר;ק;ה;ל;ע;ם;א;ם;כ;נ;ב;ר;ק;ת;א;ו;ב;י;ר;ק;(3, 1, 2, 66, 101)
(3, 1, 3, 27, 140);י;ר;ק;י;ם;י;מ;ת;ר;כ;ז;ר;ק;ב;ה;ן;מ;ו;נ;ב;(3, 1, 3, 8, 121)
(3, 1, 3, 47, 160);ב;י;ר;ק;י;ד;ע;ו;מ;ל;ה;א;ח;ת;פ;ל;א;ו;נ;ב;(3, 1, 3, 28, 141)
(3, 1, 4, 4, 180);ך;מ;ס;ו;ה;ו;ה;י;י;נ;פ;ל;ו;נ;צ;ר;ל;ו;ת;א;(3, 1, 3, 48, 161)
(3, 1, 4, 24, 200);ל;ו;ל;ה;צ;ר;נ;ו;ה;ל;ע;ה;ש;א;ר;ל;ע;ו;ד;י;(3, 1, 4, 5, 181)
(3, 1, 5, 13, 220);ל;ר;ק;ב;ה;ן;ב;ת;א;ט;ח;ש;ו;ו;י;ל;ע;ר;פ;כ;(3, 1, 4, 25, 201)
(3, 1, 5, 33, 240);ר;ה;א;י;נ;ב;ו;ב;י;ר;ק;ה;ו;ה;ו;ה;י;י;נ;פ;(3, 1, 5, 14, 221)
(3, 1, 5, 53, 260);ה;ת;א;ו;ק;ר;ז;ו;ם;ד;ה;ת;א;ם;י;נ;ה;כ;ה;ן;(3, 1, 5, 34, 241)
(3, 1, 5, 73, 280);א;ח;ת;פ;ר;ש;א;ב;י;ב;ס;ח;ב;ז;מ;ה;ל;ע;ם;ד;(3, 1, 5, 54, 261)
(3, 1, 6, 14, 300);נ;ו;ה;ל;ע;ה;ת;א;ט;י;ש;פ;ה;ו;ד;ע;ו;מ;ל;ה;(3, 1, 5, 74, 281)
(3, 1, 7, 9, 320);א;י;נ;ב;ו;נ;ת;נ;ו;ה;י;ח;ת;נ;ל;ה;ת;א;ח;ת;(3, 1, 6, 15, 301)
(3, 1, 7, 29, 340);כ;ר;ע;ו;ח;ב;ז;מ;ה;ל;ע;ש;א;ן;ה;כ;ה;ן;ר;ה;(3, 1, 7, 10, 321)
(3, 1, 8, 10, 360);ה;א;י;נ;ב;ו;כ;ר;ע;ו;ש;א;ה;ל;ע;ם;י;צ;ע;ו;(3, 1, 7, 30, 341)
(3, 1, 8, 30, 380);ר;ה;ת;א;ם;י;ח;ת;נ;ה;ת;א;ם;י;נ;ה;כ;ה;ן;ר;(3, 1, 8, 11, 361)
(3, 1, 8, 50, 400);ע;ר;ש;א;ם;י;צ;ע;ה;ל;ע;ר;ד;פ;ה;ת;א;ו;ש;א;(3, 1, 8, 31, 381)
(3, 1, 9, 6, 420);ו;ו;ב;ר;ק;ו;ח;ב;ז;מ;ה;ל;ע;ר;ש;א;ש;א;ה;ל;(3, 1, 8, 51, 401)
(3, 1, 9, 26, 440);ה;ר;י;ט;ק;ה;ו;ם;י;מ;ב;ץ;ח;ר;י;ו;י;ע;ר;כ;(3, 1, 9, 7, 421)
(3, 1, 9, 46, 460);ה;ש;א;ה;ל;ע;ה;ח;ב;ז;מ;ה;ל;כ;ה;ת;א;ן;ה;כ;(3, 1, 9, 27, 441)
(3, 1, 10, 7, 480);צ;ה;ן;מ;ם;א;ו;ה;ו;ה;י;ל;ח;ו;ח;י;נ;ח;י;ר;(3, 1, 9, 47, 461)
(3, 1, 10, 27, 500);ה;ן;מ;ו;א;ם;י;ב;ש;כ;ה;ן;מ;ו;נ;ב;ר;ק;ן;א;(3, 1, 10, 8, 481)
(3, 1, 10, 47, 520);ב;י;ר;ק;י;ם;י;מ;ת;ר;כ;ז;ה;ל;ע;ל;ם;י;ז;ע;(3, 1, 10, 28, 501)
(3, 1, 11, 18, 540);צ;ח;ב;ז;מ;ה;ך;ר;י;ל;ע;ו;ת;א;ט;ח;ש;ו;ו;נ;(3, 1, 10, 48, 521)
(3, 1, 11, 38, 560);א;י;נ;ב;ו;ק;ר;ז;ו;ה;ו;ה;י;י;נ;פ;ל;ה;נ;פ;(3, 1, 11, 19, 541)
(3, 1, 11, 58, 580);ב;ז;מ;ה;ל;ע;ו;מ;ד;ת;א;ם;י;נ;ה;כ;ה;ן;ר;ה;(3, 1, 11, 39, 561)
(3, 1, 12, 15, 600);א;ו;ו;י;ח;ת;נ;ל;ו;ת;א;ח;ת;נ;ו;ב;י;ב;ס;ח;(3, 1, 11, 59, 581)
(3, 1, 12, 35, 620);ן;ה;כ;ה;ך;ר;ע;ו;ו;ר;ד;פ;ת;א;ו;ו;ש;א;ר;ת;(3, 1, 12, 16, 601)
(3, 1, 12, 55, 640);ש;א;ש;א;ה;ל;ע;ר;ש;א;ם;י;צ;ע;ה;ל;ע;ם;ת;א;(3, 1, 12, 36, 621)
(3, 1, 13, 12, 660);ם;י;ע;ר;כ;ה;ו;ב;ר;ק;ה;ו;ח;ב;ז;מ;ה;ל;ע;ר;(3, 1, 12, 56, 641)
(3, 1, 13, 32, 680);ת;א;ן;ה;כ;ה;ב;י;ר;ק;ה;ו;ם;י;מ;ב;ץ;ח;ר;י;(3, 1, 13, 13, 661)
(3, 1, 13, 52, 700);ו;ה;ה;ל;ע;ה;ח;ב;ז;מ;ה;ר;י;ט;ק;ה;ו;ל;כ;ה;(3, 1, 13, 33, 681)
(3, 1, 14, 4, 720);מ;ם;א;ו;ה;ו;ה;י;ל;ח;ח;י;נ;ח;י;ר;ה;ש;א;א;(3, 1, 13, 53, 701)
(3, 1, 14, 24, 740);ה;ו;ה;ו;ה;י;ל;ו;נ;ב;ר;ק;ה;ל;ע;ף;ו;ע;ה;ן;(3, 1, 14, 5, 721)
(3, 1, 14, 44, 760);י;ה;י;נ;ב;ן;מ;ו;א;ם;י;ר;ת;ה;ן;מ;ב;י;ר;ק;(3, 1, 14, 25, 741)
(3, 1, 15, 10, 780);ה;כ;ה;ו;ב;י;ר;ק;ה;ו;ו;נ;ב;ר;ק;ת;א;ה;נ;ו;(3, 1, 14, 45, 761)
(3, 1, 15, 30, 800);ה;ו;ו;ש;א;ר;ת;א;ק;ל;מ;ו;ח;ב;ז;מ;ה;ל;א;ן;(3, 1, 15, 11, 781)
(3, 1, 15, 50, 820);ל;ע;ו;מ;ד;ה;צ;מ;נ;ו;ה;ח;ב;ז;מ;ה;ר;י;ט;ק;(3, 1, 15, 31, 801)
(3, 1, 16, 12, 840);ו;ת;א;ר;מ;ת;א;ר;י;ס;ה;ו;ח;ב;ז;מ;ה;ר;י;ק;(3, 1, 15, 51, 821)
(3, 1, 16, 32, 860);ז;מ;ה;ל;צ;א;ה;ת;א;ך;י;ל;ש;ה;ו;ה;ת;צ;נ;ב;(3, 1, 16, 13, 841)
(3, 1, 17, 4, 880);ע;ס;ש;ו;ן;ש;ד;ה;ם;ו;ק;מ;ל;א;ה;מ;ד;ק;ח;ב;(3, 1, 16, 33, 861)
(3, 1, 17, 24, 900);ט;ק;ה;ו;ל;י;ד;ב;י;א;ל;ו;י;פ;נ;כ;ב;ו;ת;א;(3, 1, 17, 5, 881)
(3, 1, 17, 44, 920);צ;ע;ה;ל;ע;ה;ח;ב;ז;מ;ה;ן;ה;כ;ה;ו;ת;א;ר;י;(3, 1, 17, 25, 901)
(3, 1, 17, 64, 940);ר;ה;ש;א;א;ו;ה;ה;ל;ע;ש;א;ה;ל;ע;ר;ש;א;ם;י;(3, 1, 17, 45, 921)
(3, 2, 1, 9, 960);ר;ק;ת;י;כ;ש;פ;נ;ו;ה;ו;ה;י;ל;ח;ח;י;נ;ח;י;(3, 1, 17, 65, 941)
(3, 2, 1, 29, 980);ה;י;ת;ל;ס;ה;ו;ה;י;ל;ה;ח;נ;מ;ן;ב;ר;ק;ב;י;(3, 2, 1, 10, 961)
(3, 2, 1, 49, 1000);נ;ו;ן;מ;ש;ה;י;ל;ע;ק;צ;י;ו;ו;נ;ב;ר;ק;ה;י;(3, 2, 1, 30, 981)
(3, 2, 2, 10, 1020);נ;ב;ל;א;ה;א;י;ב;ה;ו;ה;נ;ב;ל;ה;י;ל;ע;ן;ת;(3, 2, 1, 50, 1001)
(3, 2, 2, 30, 1040);ל;מ;ם;ש;מ;ץ;מ;ק;ו;ם;י;נ;ה;כ;ה;ן;ר;ה;א;י;(3, 2, 2, 11, 1021)
(3, 2, 2, 50, 1060);ל;כ;ל;ע;ה;נ;מ;ש;מ;ו;ה;ת;ל;ס;מ;ו;צ;מ;ק;א;(3, 2, 2, 31, 1041)
(3, 2, 2, 70, 1080);כ;ז;א;ת;א;ן;ה;כ;ה;ר;י;ט;ק;ה;ו;ה;ת;נ;ב;ל;(3, 2, 2, 51, 1061)
(3, 2, 2, 90, 1100);ל;ח;ח;י;נ;ח;י;ר;ה;ש;א;ה;ח;ב;ז;מ;ה;ה;ת;ר;(3, 2, 2, 71, 1081)
(3, 2, 3, 16, 1120);א;ל;ה;ח;נ;מ;ה;ן;מ;ת;ר;ת;ו;נ;ה;ו;ה;ו;ה;י;(3, 2, 2, 91, 1101)
